직업,능력치,기능1,레벨1,기능2,레벨2,기능3,레벨3,기능4,레벨4,기능5,레벨5
초등학생,감각,지각,2,의지,1,RC,1,정보: 소문,1,,
중학생,감각,지각,1,의지,1,RC,2,정보: 소문,1,,
고등학생,육체,회피,1,지각,1,RC,2,정보: 소문,1,,
불량학생,육체,백병,1,운전:,2,지각,1,의지,1,정보: 암흑가,1
대학생,정신,회피,1,운전:,2,의지,1,지식:,2,정보: 학문,1
프리터,육체,백병,1,운전:,2,의지,1,지식:,2,정보: 웹,1
교사,정신,운전:,2,지식:,2,교섭,1,조달,1,정보: 학문,1
주부,사회,예술:,2,의지,1,교섭,2,정보: 소문,1,,
UGN 칠드런A,육체,백병,2,회피,1,RC,1,정보: UGN,1,,
UGN 칠드런B,감각,회피,1,사격,2,RC,1,정보: UGN,1,,
UGN 칠드런C,정신,회피,1,의지,1,RC,2,정보: UGN,1,,
UGN 에이전트A,육체,백병,1,회피,1,RC,1,조달,1,정보: UGN,1
UGN 에이전트B,감각,사격,1,지각,1,RC,1,조달,1,정보: UGN,1
UGN 에이전트C,정신,의지,1,RC,1,지식,2,조달,1,정보: UGN,1
UGN 에이전트D,사회,지각,1,교섭,1,RC,1,조달,1,정보: UGN,1
UGN 지부장A,육체,백병,1,회피,1,운전:,2,조달,1,정보: UGN,1
UGN 지부장B,감각,운전:,2,사격,1,지각,1,조달,1,정보: UGN,1
UGN 지부장C,정신,RC,1,의지,1,지식:,2,조달,1,정보: UGN,1
UGN 지부장D,사회,의지,1,교섭,1,조달,2,정보: UGN,1,,
형사,감각,운전:,2,사격,1,지각,1,조달,1,정보:암흑가,1
감식,정신,운전:,2,지각,1,조달,1,지식:,2,정보:암흑가,1
변호사,사회,운전:,2,의지,1,지식:,2,교섭,1,정보:암흑가,1
방위대원,감각,백병,1,회피,1,운전:,2,사격,1,정보: 군사,1
용병,육체,백병,1,운전:,2,사격,1,지각,1,정보: 군사,1
연구자,정신,지각,1,지식:,4,조달,1,정보: 학문,1,,
교수,사회,운전:,2,의지,1,지식:,2,교섭,1,정보: 학문,1
간호사,육체,지각,1,의지,1,지식:,2,교섭,1,정보: 학문,1
의사,사회,RC,1,의지,1,지식:,4,정보: 학문,1,,
정치가,,,,,,,,,,,
비즈니스맨,,,,,,,,,,,
중역,,,,,,,,,,,
유흥업,,,,,,,,,,,
자영업,,,,,,,,,,,
종교가,,,,,,,,,,,
탐정,,,,,,,,,,,
보디가드,,,,,,,,,,,
드라이버,,,,,,,,,,,
조직폭력단,,,,,,,,,,,
마피아,,,,,,,,,,,
도둑,,,,,,,,,,,
교섭인,,,,,,,,,,,
암살자,감각,백병,1,운전:,2,사격,1,지식:,2,정보:암흑가,1
점술가,,,,,,,,,,,
아티스트,정신,지각,1,예술:,2,의지,2,정보: 웹,1,,
가수,,,,,,,,,,,
배우,,,,,,,,,,,
마술사,,,,,,,,,,,
운동선수,,,,,,,,,,,
격투가,,,,,,,,,,,
기자,,,,,,,,,,,
아나운서,,,,,,,,,,,
프로그래머,,,,,,,,,,,
해커,,,,,,,,,,,
흥신소,,,,,,,,,,,
정보상인,,,,,,,,,,,
공작원,,,,,,,,,,,
